Real	Imaginary	Radius	Angle [rad]
2.860	-5.136	5.879	-1.063
2.880	-4.678	5.494	-1.019
2.900	-4.013	4.951	-0.945
2.920	-2.920	4.129	-0.785
2.940	-3.310	4.427	-0.845
2.960	-0.896	3.093	-0.294
2.980	-0.461	3.015	-0.153
3.000	0.612	3.062	0.201
3.020	2.959	4.228	0.775
3.040	2.365	3.852	0.661
3.060	4.615	5.537	0.985
3.080	5.176	6.023	1.034
3.100	4.584	5.534	0.976
3.120	4.480	5.459	0.962
3.140	3.547	4.737	0.846
3.160	4.999	5.914	1.007
3.180	2.226	3.881	0.611
3.200	0.952	3.339	0.289
3.220	-0.447	3.251	-0.138
3.240	-1.077	3.414	-0.321
3.260	-0.765	3.349	-0.231
3.280	-2.595	4.183	-0.669
3.300	-3.299	4.666	-0.785
3.320	-4.948	5.959	-0.980
3.340	-3.961	5.181	-0.870
3.360	-4.116	5.313	-0.886
3.380	-4.558	5.675	-0.933
3.400	-4.624	5.739	-0.937
3.420	-3.351	4.788	-0.775
3.440	-1.920	3.940	-0.509
3.460	-3.329	4.801	-0.766
3.480	-0.866	3.586	-0.244
3.500	0.699	3.569	0.197
3.520	2.542	4.342	0.625
3.540	3.994	5.337	0.846
3.560	4.442	5.692	0.895
3.580	3.845	5.253	0.821
3.600	4.298	5.607	0.874
3.620	5.113	6.265	0.955
3.640	5.093	6.260	0.950
3.660	6.128	7.137	1.032
3.680	1.962	4.171	0.490
3.700	1.485	3.987	0.382
3.720	0.192	3.725	0.052
3.740	-0.419	3.763	-0.112
3.760	-2.301	4.408	-0.549
3.780	-2.952	4.796	-0.663
3.800	-3.508	5.171	-0.745
3.820	-4.663	6.028	-0.884
3.840	-5.429	6.649	-0.955
3.860	-3.391	5.138	-0.721
3.880	-5.045	6.364	-0.915
3.900	-4.403	5.882	-0.846
3.920	-3.847	5.492	-0.776
3.940	-1.787	4.326	-0.426
3.960	-0.686	4.019	-0.171
3.980	-1.416	4.225	-0.342
