Este archivo fue generado el Sept 19
Tasa de muestreo: 50 [Hz]
,T,Valores
75,1.5,1.6236183270613593
76,1.52,1.9661593925510847
77,1.54,2.565887254582173
78,1.56,4.507653775182672
79,1.58,5.5561386633844
80,1.6,4.25140386273046
81,1.62,4.925854365037406
82,1.6400000000000001,3.6091672812497064
83,1.6600000000000001,3.114513955346859
84,1.68,2.476267409671795
85,1.7,1.0959711219101809
86,1.72,0.0931457368672689
87,1.74,0.7107499154046608
88,1.76,-2.377854315027576
89,1.78,-3.413806428574714
90,1.8,-3.943498894408414
91,1.82,-3.1724415285178624
92,1.84,-3.9310988965521645
93,1.86,-5.2622677356626655
94,1.8800000000000001,-4.5470258279542195
95,1.9000000000000001,-4.17691255669776
96,1.92,-1.9653300524852435
97,1.94,-3.012374019118476
98,1.96,-1.3827553308004479
99,1.98,0.9349907802721984
100,2.0,1.352556753853306
101,2.02,0.14988683407916392
102,2.04,3.2903351153181157
103,2.06,4.617804139604716
104,2.08,5.15544571459474
105,2.1,6.012143997178189
106,2.12,5.62772131931097
107,2.14,5.2698914870818765
108,2.16,5.215333177055277
109,2.18,3.401777282403787
110,2.2,1.8816265743632443
111,2.22,0.2303317058735765
112,2.24,-0.4859391873371155
113,2.2600000000000002,-1.6257250815320776
114,2.2800000000000002,-2.6615574293168196
115,2.3000000000000003,-3.6845698281779575
116,2.32,-4.930473025650799
117,2.34,-4.497935260212793
118,2.36,-4.18020145993456
119,2.38,-4.2528368348906485
120,2.4,-4.7035316126886935
121,2.42,-3.2828323001510142
122,2.44,-2.741887088514539
123,2.46,-1.819847896936218
124,2.48,1.3400646797745086
125,2.5,0.9400046619998947
126,2.52,2.882341407252957
127,2.54,4.0477780909019305
128,2.56,4.93555925966618
129,2.58,5.6849527952427845
130,2.6,5.2411683583481
131,2.62,5.3362256748521295
132,2.64,5.801079739000034
133,2.66,3.9253354008407486
134,2.68,1.6771210388745985
135,2.7,2.4911294787442517
136,2.72,0.1827469437761114
137,2.74,-0.5827141499626437
138,2.7600000000000002,-3.1222532169276684
139,2.7800000000000002,-1.7355769623590793
140,2.8000000000000003,-3.8684855814640957
141,2.82,-3.7183445078040336
142,2.84,-5.256147322410426
143,2.86,-4.8658280142614965
144,2.88,-4.562896684278164
145,2.9,-5.325352767340117
146,2.92,-3.274188417372429
147,2.94,-1.5790555404944757
148,2.96,-1.2446199393792123
149,2.98,-1.1613128232720464
150,3.0,2.9994607131800626
151,3.02,3.966355018031933
152,3.04,4.419726028857418
153,3.06,3.2739431000220103
154,3.08,3.1196510202940084
155,3.1,6.817419828477826
156,3.12,5.345349719549673
157,3.14,5.469028268554046
158,3.16,3.005487913623419
159,3.18,3.404887163972637
160,3.2,0.10472234844022688
161,3.22,1.7693073827885881
162,3.24,0.30819634494990067
163,3.2600000000000002,-2.4082113907085936
164,3.2800000000000002,-3.0332045953826077
165,3.3000000000000003,-5.323183456991447
166,3.3200000000000003,-5.353118084779392
167,3.34,-4.867167292932612
168,3.36,-4.1450357730634035
169,3.38,-4.043451531976649
170,3.4,-4.975625883254358
171,3.42,-3.0310342327578264
172,3.44,-1.55107685793651
173,3.46,-1.3149192459222818
174,3.48,0.477776240586825
175,3.5,0.7853174586900955
176,3.52,3.0965693095426703
177,3.54,4.573734967488505
178,3.56,3.288849530259707
179,3.58,3.8998873053713563
180,3.6,5.387732427784461
181,3.62,4.209271778502013
182,3.64,4.800954463503236
183,3.66,3.705634833851361
184,3.68,2.5092165151117998
185,3.7,2.2101655144119774
186,3.72,2.5894430333463307
187,3.74,-1.4097111937888243
188,3.7600000000000002,-1.260544897202168
189,3.7800000000000002,-2.0880489414128456
190,3.8000000000000003,-3.4243499220093185
191,3.8200000000000003,-5.020381669503668
192,3.84,-6.555444558847478
193,3.86,-5.39947815659935
194,3.88,-5.29175219913688
195,3.9,-4.081542303468566
196,3.92,-2.873686625007185
197,3.94,-1.19024979377435
198,3.96,0.3558932814130702
199,3.98,-0.06289549493172156
